"","sample14","sample105","sample83","sample107","sample74","sample3","sample85","sample92","sample40","sample22","sample80","sample57","sample102","sample20","sample53","sample19","sample62","sample65","sample101","sample99","sample75","sample89","sample66","sample59","sample71","sample16","sample41","sample90","sample103","sample30","sample34","sample60","sample46","sample21","sample47","sample77","sample8","sample23","sample12","sample72","sample32","sample28","sample7","sample36","sample87","sample5","sample4","sample69","sample25","sample43","sample24","sample42","sample110","sample88","sample6","sample11","sample27","sample15","sample9","sample38","sample124","sample215","sample193","sample217","sample184","sample113","sample195","sample202","sample150","sample132","sample190","sample167","sample212","sample130","sample163","sample129","sample172","sample175","sample211","sample209","sample185","sample199","sample176","sample169","sample181","sample126","sample151","sample200","sample213","sample140","sample144","sample170","sample156","sample131","sample157","sample187","sample118","sample133","sample122","sample182","sample142","sample138","sample117","sample146","sample197","sample115","sample114","sample179","sample135","sample153","sample134","sample152","sample220","sample198","sample116","sample121","sample137","sample125","sample119","sample148"
"ZBTB4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,4,3,1,2,2,2,2,3,2,4,4,1,2,1,2,1,2,2,3,1,3,2,2,1,2,1,3,2,0,2,1,2,1,2,4,2,2,1,1,1,4,2,2,2,2,4,3,2,3,2
"MMP19",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,2,3,2,2,2,2,5,2,5,2,2,2,3,5,3,2,5,4,3,2,1,2,2,1,3,3,2,1,2,4,2,4,2,2,2,2,4,2,4,4,2,6,4,2,1,1,2,4,3,2,2,2,4,3,2,0,3
"ZNF324B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,3,3,2,2,2,2,2,5,2,2,6,4,2,4,1,3,4,2,4,2,2,2,2,5,4,2,3,6,3,2,3,2,3,3,2,4,2,4,4,2,6,5,2,2,2,2,6,4,2,2,2,4,1,3,4,2
"STARD4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,2,2,2,2,2,2,5,1,3,2,4,3,4,2,4,4,2,2,2,2,3,0,3,4,0,3,5,4,2,2,2,4,2,1,3,2,4,2,2,4,3,2,0,1,3,6,2,2,2,2,4,3,2,3,0
"ARID2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,3,2,3,2,3,2,2,2,2,5,2,2,2,4,5,2,2,4,4,2,2,2,2,2,0,2,3,2,3,3,3,2,4,2,6,1,2,4,2,4,4,2,4,4,2,2,2,2,4,2,2,3,2,4,3,2,2,2
"KCTD9",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,4,1,1,5,3,2,2,4,1,2,2,2,1,3,1,2,2,1,1,1,2,2,0,2,3,1,2,1,2,2,3,2,1,2,2,2,1,5,2,2,4,6,2,0,1,2,3,2,3,1,3,4,2,0,3,2
"BACH2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,2,1,2,2,3,2,1,3,2,2,4,2,4,3,3,4,4,2,3,2,2,1,1,4,1,2,3,6,4,1,2,2,6,2,1,3,1,2,4,2,4,3,2,1,2,1,4,3,2,1,1,4,2,0,3,2
"ADSL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,2,2,2,2,2,2,6,2,1,3,6,3,2,2,2,4,2,3,2,2,2,2,4,2,2,2,3,2,2,2,1,3,2,2,2,2,4,4,2,4,2,2,2,2,1,2,2,2,2,2,4,4,2,2,2
"TOM1L2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,3,3,2,2,2,2,6,1,2,2,2,2,2,2,4,3,1,2,0,1,1,2,1,3,1,3,3,2,2,2,1,3,2,1,2,1,3,6,2,5,3,2,1,1,1,4,4,2,2,2,4,2,2,4,2
"DSCAM-AS1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,3,2,1,2,2,3,2,2,6,2,2,3,3,4,5,1,4,4,2,3,2,2,3,1,4,3,2,3,5,4,2,4,2,5,2,2,6,6,4,4,2,4,4,2,1,3,2,4,2,2,2,2,4,3,2,5,2
"DNASE1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,6,2,2,2,2,2,2,5,2,3,0,2,5,5,4,6,6,5,4,3,2,2,2,4,3,2,2,4,6,1,6,4,6,2,3,6,2,6,4,3,6,4,3,2,1,2,5,3,2,2,2,4,2,2,6,2
"TMEM59L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,2,2,2,0,2,5,2,2,3,4,4,3,2,3,4,2,6,2,2,2,1,5,4,2,4,3,6,2,3,2,6,3,2,4,3,5,4,1,6,2,2,1,2,0,6,4,2,2,1,4,3,0,5,2
"ATP5MF",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,5,2,3,2,4,3,2,5,2,2,5,4,2,3,1,4,3,0,3,1,2,2,2,2,5,2,4,3,3,2,4,3,4,5,2,4,1,4,3,1,6,5,2,2,0,0,6,3,3,1,2,4,2,2,4,2
"REPS2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,3,2,2,6,4,2,2,4,1,2,2,3,3,4,2,4,4,2,2,2,2,1,2,3,3,0,1,4,4,2,2,2,3,4,2,4,2,3,1,2,4,4,2,2,2,1,4,2,2,2,1,4,3,2,4,2
"ATP23",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,2,1,2,2,2,3,2,5,2,1,2,3,5,3,2,4,4,2,3,2,2,2,1,3,2,2,3,2,3,2,4,2,6,2,2,4,2,4,4,2,4,4,2,1,1,2,4,2,2,2,2,4,3,2,6,2
"GPR34",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,3,2,2,2,4,2,1,6,2,2,1,3,2,4,2,5,4,3,2,2,2,0,2,3,4,2,1,4,4,2,1,2,3,5,2,4,3,3,1,2,4,4,2,1,2,1,4,2,3,2,1,5,2,2,2,2
"RPRD2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,4,6,6,6,2,4,5,2,2,6,2,1,4,6,5,5,3,4,3,1,3,2,1,3,4,4,6,3,6,6,5,6,6,2,6,4,4,3,1,4,6,5,6,3,2,3,3,1,6,5,3,2,3,6,5,2,4,4
"KLF7-IT1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,1,5,1,2,2,4,3,3,2,4,3,2,3,2,2,2,2,2,2,1,1,5,4,2,2,3,3,1,1,6,2,4,4,2,4,1,2,2,1,2,4,2,2,2,2,4,3,2,3,2
"OIP5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,4,2,2,1,2,2,2,2,3,1,2,2,2,2,3,2,2,3,2,2,2,2,2,1,2,3,2,1,2,4,2,3,0,2,2,2,4,2,4,2,2,3,3,2,1,1,2,4,3,2,1,2,4,2,3,3,2
"TBC1D13",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,6,2,2,3,5,3,3,1,3,3,2,5,3,2,3,1,2,2,2,1,2,5,2,6,2,5,2,2,4,2,4,6,2,4,3,3,2,1,2,5,2,2,1,2,4,3,2,4,3
"MIR145",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,4,2,2,2,2,3,2,6,2,3,2,3,3,4,2,4,3,2,2,2,2,2,1,2,5,2,3,4,3,2,2,1,3,2,2,4,1,3,2,2,4,3,2,0,1,3,6,1,3,2,2,4,3,2,4,2
"ZMYND15",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,3,2,2,2,3,1,2,2,2,2,3,2,4,4,1,2,1,1,2,1,3,3,1,3,1,2,2,2,0,3,2,1,2,1,2,4,2,4,3,2,1,1,1,5,2,2,2,1,4,2,2,2,2
"DCDC2B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,1,3,1,2,4,2,2,3,2,3,3,2,3,3,2,3,2,2,2,2,3,3,2,3,6,3,2,6,2,5,1,2,3,2,3,2,2,4,2,2,2,3,0,4,3,2,1,2,4,3,2,3,2
"AL080317.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,3,4,2,2,3,2,3,2,1,6,2,2,3,2,4,3,2,4,4,2,4,1,2,2,1,5,2,1,4,6,3,1,2,2,6,2,1,3,1,2,3,2,4,3,2,1,2,1,4,3,2,1,2,4,2,2,3,2
"ELOVL2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,3,4,2,1,2,2,3,2,3,6,2,3,3,4,3,3,2,4,4,2,3,2,2,2,1,3,3,6,3,6,4,2,2,2,5,5,2,2,4,4,6,2,4,3,2,1,2,0,4,5,0,2,2,4,4,2,2,2
"DKC1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,4,3,2,3,2,4,2,2,6,2,2,2,3,3,4,1,4,4,2,4,2,3,2,1,4,4,1,4,4,5,2,2,2,5,6,2,1,2,3,3,2,4,4,2,2,3,1,4,2,2,2,1,4,2,2,2,2
"ZSWIM7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,1,2,2,2,2,2,4,1,2,2,2,2,0,2,4,4,1,2,1,2,1,2,1,5,1,3,3,2,2,2,0,4,2,1,2,1,2,5,2,4,3,2,1,1,1,4,4,2,2,1,4,2,2,0,3
"HS2ST1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,2,2,2,3,2,2,3,2,3,4,2,2,3,2,4,3,2,2,2,2,2,2,3,2,2,3,3,3,1,3,4,3,3,2,4,2,4,6,2,4,2,2,2,4,1,4,3,2,1,2,4,3,2,2,2
"RAB43",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,3,3,2,2,2,3,3,2,6,1,2,3,2,2,3,2,4,4,2,4,3,3,2,2,5,3,2,2,6,3,2,4,3,4,3,2,6,2,4,4,2,5,4,2,4,2,2,6,2,3,2,2,4,6,2,4,2
"PCDHGB2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,2,2,2,2,2,2,6,1,1,2,3,3,4,2,4,4,2,1,3,2,2,1,3,4,2,3,4,3,2,2,2,4,2,2,4,1,4,2,2,4,3,2,2,1,4,6,3,2,2,2,4,3,2,3,2
"ZNF800",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,2,4,2,3,2,2,5,2,0,5,3,3,3,2,6,3,2,3,1,3,2,3,2,4,2,4,3,2,2,4,3,4,2,2,4,2,4,4,1,6,3,2,1,3,1,6,3,2,2,2,4,4,2,4,2
"TLK2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,3,4,2,3,6,2,4,2,6,6,1,2,4,3,3,2,4,4,4,6,2,2,3,1,4,3,4,4,4,4,2,3,2,4,3,4,5,3,4,3,2,4,5,2,3,1,1,4,4,3,1,4,4,4,2,5,2
"POM121",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,2,3,1,4,2,2,3,2,2,6,4,2,3,2,4,3,2,3,2,2,2,2,2,4,2,4,4,6,2,4,3,6,3,2,4,2,3,4,6,6,5,2,2,2,2,6,3,2,2,2,4,3,3,4,2
"HDAC4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,3,2,2,2,2,3,1,5,1,2,2,4,3,3,2,5,3,2,0,2,2,4,1,1,4,2,2,3,3,1,3,2,3,2,2,1,2,4,4,2,4,2,2,1,2,1,4,1,2,2,3,4,3,2,4,2
"BRD7P2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1,3,3,2,2,4,3,3,2,6,2,1,4,3,4,3,2,4,4,2,6,2,2,3,2,5,3,2,3,6,3,2,5,0,4,3,2,5,2,4,4,2,4,4,2,2,3,2,6,4,2,2,2,6,3,2,4,2
"TMEM258",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,4,3,2,2,3,1,2,6,2,2,3,2,5,3,1,5,2,2,3,4,2,2,2,2,4,1,2,4,4,2,3,1,5,2,2,4,2,6,4,2,6,2,3,2,2,2,4,3,2,2,3,4,3,2,3,2
"AL391834.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,3,3,2,1,4,4,0,2,3,0,2,6,3,3,3,2,4,3,2,3,2,2,2,4,4,3,3,3,5,5,2,2,2,3,4,2,2,2,4,6,2,5,4,3,1,4,2,5,2,2,1,1,4,2,1,3,3
"DNAJB1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,2,2,2,2,3,4,2,2,4,2,4,4,2,3,5,2,3,2,1,2,1,4,4,2,4,3,3,2,2,1,6,3,2,4,3,4,6,2,6,6,2,1,2,2,6,2,2,2,2,4,3,2,3,2
"AC009139.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,2,3,1,3,2,2,3,3,2,2,1,2,2,1,2,1,3,1,0,4,3,2,3,3,2,2,2,1,4,5,1,3,1,2,2,1,2,2,2,4,2,1,2,2,2,0,1,2,3,2,2,2
"CDADC1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,2,3,4,2,2,3,0,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,3,3,2,4,2,5,0,2,4,5,0,1,1,2,4,2,2,2,1,4,3,2,5,2
"AC073389.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2,3,1,2,5,1,2,3,3,1,3,2,3,4,2,4,2,4,2,1,3,2,2,3,6,4,2,4,3,5,2,2,3,2,5,3,2,4,3,2,1,2,1,5,2,3,3,2,4,2,2,2,2
"OXA1L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,3,3,2,2,3,2,2,2,4,2,2,3,3,3,3,3,6,4,2,3,2,2,2,1,2,2,2,2,4,3,2,2,3,3,4,1,2,2,4,3,3,5,4,2,1,1,2,6,4,2,2,2,4,4,2,3,2
