"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80"
"g11",15511,8445,23711,11226,3569,12242,19484,15760,25483,12602,5679,683,18240,8711,5096,14645,6390,2367,21347,9479,14474,29801,13456,5226,22309,4530,15438,8355,4818,10507,10149,9482,7863,21202,37705,44267,3095,8369,23849,5368,66531,24805,54802,44702,51707,20564,14918,38372,55169,23040,38148,35960,37224,81419,66777,9375,52240,23335,14793,5407,32056,42327,30201,50978,51227,44692,55045,30126,31206,51257,12276,51418,12836,39651,93059,24405,27030,44092,34160,21818
"g12",3736,3859,3268,3751,1454,5870,6029,8192,4469,3855,4872,7408,3511,586,2974,8061,3121,3228,2491,2721,11625,4842,4529,6584,3940,3703,1479,10854,10404,8706,5190,7542,6750,8009,12786,8834,2343,3957,10673,3628,4484,6888,9812,8562,6406,9234,6953,3224,7076,6853,2767,7836,8234,14774,8280,17943,26035,11555,10337,3472,10315,8111,4385,3995,15798,3843,19146,9264,6375,3103,10946,16415,3826,3901,5544,8835,5132,11249,14366,2521
"g13",2715,2471,378,3891,1198,610,1204,5354,1922,1259,5668,4788,1143,5160,456,6967,829,959,4346,2692,3728,11126,5783,1841,868,9052,1682,501,5483,462,5925,749,1910,3989,10796,1697,5758,2001,7807,88,1698,8857,2506,1680,3757,20073,1916,2415,3895,2368,1584,3229,1112,11090,13604,3977,1615,12805,2465,6063,682,3878,392,5660,4453,5646,7342,19444,918,5835,10558,5931,5545,3496,1311,6530,1613,18215,9156,28615
"g14",22337,0,3923,1330,5643,11878,16315,5510,1815,1790,4254,17462,2253,12436,6545,4564,2869,21983,8916,5036,12255,34314,2099,14271,11333,9653,7340,1404,30825,8738,3138,12375,4236,14890,142,1371,2184,21601,5145,783,5868,39079,16323,25382,6819,27235,13492,11277,6621,31876,551,2552,43577,40092,3898,7801,24071,311,7736,18078,3768,54918,588,2771,75342,9862,4824,5300,12670,37051,897,35700,8583,48178,7784,4439,13266,42504,37092,2358
"g15",9274,288,8957,2996,1626,8789,1876,1537,10770,4107,1294,227,3137,3276,1931,9057,1293,4809,1179,734,673,7,2504,8841,482,992,2940,6427,1477,1870,2843,10048,3057,2099,1304,3932,9669,10682,2028,15244,4676,7923,5446,3681,3732,2182,10854,3198,1737,608,6059,74,11671,7811,10960,5997,1156,11584,7095,13457,10929,9454,58,1992,10229,14533,5912,4313,11621,4669,301,632,1265,2031,3315,4941,1568,1023,4166,9224
"g16",12683,15811,5995,10184,8750,11421,8899,7790,8477,8157,4150,12741,8043,7564,10141,14541,15658,9936,6979,8553,12540,18946,7711,5752,7930,17428,8810,12446,8144,8412,5268,4436,12092,10590,17142,17023,3883,15830,28013,4019,21751,25538,35496,40137,57494,54409,17889,58295,37099,10941,11774,26555,23793,19282,31086,36205,29087,11101,20672,20397,57692,25559,40517,7920,44270,60742,64319,45638,6533,35447,38609,39765,18333,36411,67721,21516,34897,77398,43792,24191
"g17",10173,11624,47311,100,11136,407,396,6,3508,52,24921,21312,206,2893,318,6284,7829,46092,62372,10696,28750,10018,2711,7777,77,23957,2071,6046,15,89792,35207,38,3129,426,27624,491,2502,15,274,506,643,92676,10,19816,29495,0,179330,13698,1028,958,863,2308,0,13443,6564,590,41173,2767,2925,45853,36080,273,932,2037,20164,2878,3972,8357,28063,1511,50902,0,10686,20133,45876,1694,27,48626,1144,0
"g18",2746,9577,7267,23621,5203,4952,14526,6997,11501,9225,5436,5532,2897,4531,15155,8555,6014,4666,8309,2431,9119,20117,3542,9811,7889,20917,4771,8887,5110,8624,3237,12091,21408,31109,13926,4433,19228,6562,11493,6592,9638,14988,13384,11061,14097,13422,13706,49092,12349,28435,29911,19020,10327,8631,37053,23285,16621,13003,41239,14555,34859,12978,34324,33894,17699,51879,23261,4749,3605,22127,21735,41196,7951,15959,21750,4712,11344,25007,20540,12814
"g19",3260,4852,5231,548,7371,1665,12332,3718,10348,6191,2379,4541,1028,6156,2502,6884,2291,163,312,196,1718,1167,709,1994,250,6906,2170,3799,13382,5838,1262,3397,3514,33160,8792,3130,8518,4292,3488,1524,27131,8508,1054,1885,9546,15831,17206,6664,5470,738,26558,634,12159,6594,2376,2962,87699,30880,24636,6286,56061,553,26630,7050,13710,24138,57267,11616,2132,5192,11574,9002,2653,19356,26731,2663,2392,16478,18426,14519
"g20",28873,18663,6625,17006,12299,8339,22528,18916,16200,20865,4461,14618,20604,10347,19703,12528,16035,25991,13659,10677,13873,16998,6143,18577,11322,15499,14115,20751,15825,18458,7449,9463,8413,19008,30964,25191,12816,15767,25975,15146,20239,26766,14745,34992,29151,38626,24797,49022,21703,13881,30894,13638,25320,80826,14124,21018,22108,76896,14005,14954,19391,9071,10031,18354,53092,25010,36972,23150,14568,21654,19275,38449,42434,20601,51386,20103,25331,33693,10981,16354
"g21",12279,13460,8816,5880,14136,15797,10954,10509,9057,22465,4574,12884,13266,8041,12251,11171,9074,8896,12200,5357,7716,6807,5828,6373,8110,18084,17105,17158,4697,7910,8708,6583,11954,15799,12030,20772,3130,8016,16131,20323,14385,12882,15489,14649,22262,41018,15051,19818,16644,7950,11034,6118,19939,18607,12458,16330,18848,12098,17185,29713,21657,12459,15645,10883,16498,14530,10758,18725,5810,7605,17997,43595,7972,11652,21624,13965,25100,23954,4617,16850
"g22",26020,10500,17146,9938,28619,15064,16753,18819,18584,9100,14102,29329,10268,9760,8695,18270,22213,31763,20778,12860,8183,13403,13126,10626,7751,36818,11813,15713,12377,23682,12136,13497,24188,13039,11127,13054,12508,10440,18143,21919,64076,33086,64981,48492,38348,99609,53628,56046,50829,50699,57931,48363,103397,68197,59679,60590,123779,24288,59504,44717,62046,66469,82714,78019,121023,63015,50499,85228,28318,67688,45871,29611,85274,116403,113889,71455,74883,56907,50717,63622
"g23",8537,4121,3396,5234,10400,8301,7564,9752,13515,6046,6254,7438,6328,1983,6055,4332,7420,5266,3101,3700,4664,7212,6521,4784,4493,8761,12977,22625,8261,8074,9565,8413,15831,6695,8592,6536,7156,2857,6993,5033,14331,12246,32254,20458,15624,25516,8746,5804,21625,8790,16098,4726,24083,8944,5696,13974,35874,17379,12630,10745,2459,2174,6768,6431,14100,7487,11011,12940,11873,45728,13123,12207,8488,26824,17454,5207,4493,29865,11639,14905
"g24",6422,6247,9450,4191,3273,5499,1615,10747,20164,4023,9108,5886,4957,6818,5629,5429,8096,12117,12789,5408,4032,10964,5408,3595,1670,5167,4459,10190,6070,12794,6608,3109,4370,3402,9617,7616,10743,6285,6145,8349,7349,17061,5548,16674,8036,12660,11754,11818,26088,2576,3801,22615,34925,4491,5685,18539,22761,18049,31592,11105,3966,21801,8204,12295,5744,15423,4159,11440,7478,27368,24965,21261,5889,22023,40169,10742,6895,15870,19916,9034
"g25",13856,10812,11874,7539,7191,6976,11218,8228,19794,12443,5723,7156,8645,4995,18217,20926,11852,15858,7365,12862,11530,7384,13934,10227,5013,11960,3424,19088,6024,16889,16211,10494,8471,12868,8181,11858,19482,13622,11537,7896,32155,38862,21165,33551,24228,61910,17324,42349,29532,28569,48838,39962,68145,35562,60275,64993,62630,25395,43179,25022,22869,56903,33938,6058,104772,33814,27918,15325,14193,35223,27365,34224,19583,28964,51524,36188,59815,37414,17689,32895
"g26",9520,4891,8531,7418,12044,24048,11375,12817,18300,15647,7673,8552,7293,8059,18263,9373,12606,16635,16121,7949,26978,10173,20796,27597,22549,28185,14837,12989,10802,14845,14509,3847,7448,12498,15509,11396,14177,12543,20795,10481,18182,7471,20774,10937,20392,26321,6658,24400,36310,16766,24386,11485,11505,24680,18645,20244,33068,9229,17110,11439,28182,21824,15517,9660,27890,17215,16924,20944,22742,5609,18861,17587,13514,18140,25145,15964,20964,24097,8073,9838
"g27",19422,32842,34158,23167,22571,67719,33621,9352,58528,29844,16883,85117,19620,21570,22009,7392,9613,69397,12838,11802,62307,10664,3401,20117,46745,11518,7611,37824,27231,92119,13563,30325,16950,35365,50343,58468,14433,50961,72458,60714,39897,33466,97180,53543,38270,75016,131096,58969,227602,62991,106313,28748,58701,93528,47456,136971,279383,57156,62558,109383,128664,29392,73943,31773,178316,59714,34858,71302,69707,45454,99240,16090,110723,79372,118508,33413,60826,100980,47789,50322
"g28",10099,8262,5693,3977,6514,7700,10529,6599,7458,5721,5802,4755,6563,1809,15996,14307,7525,9134,4978,4936,5438,15752,10678,4002,7997,9142,25796,4834,5689,7071,5891,12996,6432,6603,17495,6044,3865,6385,8570,7800,26603,18350,24622,47192,23322,27696,26567,12908,21740,32138,21408,25523,41033,36073,33068,40930,60566,22696,52191,27105,40527,29443,46109,14505,72147,33582,14146,26994,22038,35152,18841,27892,26626,38557,62905,66568,20057,58468,30758,18309
"g29",10040,9587,13209,12932,2657,29628,4296,4973,13200,3547,5550,6676,4219,7873,11458,10800,3361,8635,6040,6558,5882,16249,4299,2939,8389,12874,14278,10616,9579,5687,6262,10062,15211,12543,9305,6703,7307,3893,13636,14864,49085,14744,70735,70423,70108,53839,45382,25552,28725,30923,43748,44323,102836,59597,49653,61759,66077,33951,43274,33001,34182,71589,54724,41381,42241,121000,31917,71602,81354,88625,73643,54907,32726,45178,86307,30130,42095,19565,108742,59502
"g30",22203,9569,22942,14218,7310,14385,8224,19878,25874,5294,13151,14260,5115,13821,18866,6077,23002,24212,11635,7219,6293,10397,7473,12484,11239,15828,16189,12941,12462,8028,11278,7822,22354,25183,17344,6611,12950,11069,19546,9325,24080,26433,35065,25979,22150,25738,29363,24890,23293,21763,24426,38957,22041,25656,30712,47634,34553,31198,22551,13109,31342,16455,25307,47197,58251,31853,35681,46738,22766,34143,34399,50187,35698,32143,42372,21613,16224,24513,31593,24788
"g31",4135,13784,11447,13330,11806,21959,8062,14599,8507,11082,9857,12143,5455,4686,3576,8658,14733,11296,8153,11833,8007,11521,11348,11090,11356,10805,20797,3860,15691,8694,11904,1702,17167,8944,12709,11309,10823,9557,15558,12488,34677,38342,35162,49959,36282,76290,101963,32010,75402,55950,147299,37620,45196,17589,76032,84098,97233,10947,54654,84636,111893,72950,47716,30793,51278,128545,95033,71297,37278,90617,101895,49168,76925,164720,66881,60660,19854,23441,49556,63534
"g32",5532,14305,11625,28918,1798,36517,5279,14271,12924,8956,10505,39220,12502,968,13925,5450,5520,4504,11397,1036,15623,11763,17642,7422,26284,16350,24172,802,7672,21346,16604,13078,13171,9250,55418,8276,3968,1350,11677,14006,13821,69130,10338,3099,9969,12644,62398,6890,12971,6314,690,32997,11351,60848,7794,11701,16888,27385,3657,16729,9757,55259,2572,10905,19968,37501,7961,4183,2766,7531,14931,39005,21623,24927,36110,34422,10456,22132,7587,12051
"g33",22738,12260,13744,8440,24869,23401,12115,19078,22080,14863,9888,13610,20040,17934,25298,31615,16247,22469,26772,20900,19414,31931,13199,18930,13654,16828,22342,22338,15595,14094,14551,16373,22701,22288,21052,11899,19223,25884,22589,26943,53928,107753,84733,92356,141796,153723,83532,65606,73538,101397,75805,125493,113833,76236,143148,90792,120733,66478,71781,49006,90181,57785,80344,91160,117337,81133,24991,114769,72718,86423,63816,57907,57040,194690,100146,83272,94536,126548,55163,52564
"g34",17706,14739,10486,12388,9807,13453,4109,7228,14326,3370,7589,21251,6922,15357,14475,10071,6992,11866,6694,6087,6375,10049,6509,10133,4614,8696,8468,4977,13646,10922,7469,12985,6741,7835,7599,6699,8035,6773,7357,6985,16662,11245,14082,10837,15399,20369,15119,21813,10514,3726,21213,7449,10594,14651,13307,27165,20840,10422,14750,30786,27303,23813,16014,30527,33206,16222,25765,23361,9619,8833,17491,15097,13310,27436,20035,14555,49889,23095,12968,6268
"g35",32613,15214,68461,48026,23596,36327,32776,57788,63714,11793,51169,16568,18466,61483,52839,31215,61498,45778,56788,19223,36080,52261,29697,63945,29371,38240,37707,65094,53334,20846,16257,14835,81264,68536,31485,77823,30269,43978,39988,59999,60526,55991,35764,20676,68968,36693,67543,62463,31944,22970,32833,29283,25446,56498,89102,76553,27812,39652,9493,32985,57527,50829,86927,54320,77205,50091,76587,23176,17904,75230,53538,15795,48746,62904,122709,61936,62624,39166,55687,84854
"g36",19876,6433,10800,7193,21176,9394,5720,10166,22883,382,17086,15417,6423,3473,11302,2530,4836,4811,4527,19554,4653,4410,30768,5238,18036,31113,25740,37289,3321,5462,11059,16557,7769,9424,5497,3591,4708,2073,7379,17341,5662,38300,4028,3937,16523,27600,6322,7866,29727,23502,18257,26208,2432,38734,17311,60676,16124,29268,1908,18823,38537,36003,12874,17510,23029,4740,24017,44702,24393,5882,36317,31932,8505,27450,18640,33907,15584,17242,46668,8204
"g37",30730,19546,17335,11005,10777,14551,16263,19248,18121,9250,10209,11281,8909,8114,13207,19917,12769,13871,12593,7707,12654,11312,16434,9038,16158,15391,29556,16359,12823,16634,15068,15179,18385,19578,16046,13963,11249,20578,23538,14934,29527,18082,13390,23489,33427,26965,36691,21732,26703,30309,20375,37418,31154,25162,31182,29525,21555,18761,23366,20354,40482,22643,21234,25083,37559,23088,25933,18169,16603,40542,20133,26815,34217,23469,31045,11096,51053,40548,21791,9860
"g38",3430,2804,5041,10855,1343,4594,7733,5388,8450,1522,7803,12312,13822,2328,1013,27017,3282,1932,11239,4881,3080,3939,13932,3788,568,16240,1000,6830,1926,16376,1930,2993,11488,14845,8527,8620,3593,681,3672,3395,6801,13873,3670,12140,4411,6750,6063,323,3032,2237,12356,3223,6977,1121,24576,3308,34254,2737,20310,951,2218,1726,8995,1088,4065,942,9643,8656,6560,27307,6950,6996,7259,546,12430,2659,4086,2901,7112,14710
"g39",2686,1674,6664,2291,6001,1347,3075,2826,1658,5808,6854,6548,6291,2071,1573,2976,5286,2176,1626,2142,2652,6229,3046,3590,778,5075,10457,1986,6034,11311,3586,2208,4376,2641,12604,1528,3512,9873,5840,10209,5972,3101,4531,461,12217,7326,3431,11574,6310,319,4358,6260,3348,3048,7514,2637,29748,11003,2221,1679,4928,5115,1190,5448,5153,10675,3278,2748,3031,4318,975,8150,7597,1956,5133,693,14053,17118,151,2330
"g40",0,374,5231,29699,98440,24428,245,561,29547,28188,262,0,7,2513,75,567,23762,0,0,453,18565,3828,36120,18369,360506,1085,9991,16612,7285,801,9,36699,13632,7401,118314,38251,48512,862,16,12713,2197,41,3152,59070,51182,15284,21203,89878,26,4472,11420,181,65580,24288,204,7672,0,50222,0,8391,1049,75829,85,23798,10823,28238,1226,18791,16268,2661,2900,18860,31065,941,4443,0,9568,7244,0,30
"g41",35994,26072,636,28172,1996,46777,21378,19483,42985,12888,32471,16767,8586,22500,6888,17819,18642,24467,12001,14648,2962,27592,13125,12023,3203,16951,35904,62138,16135,9429,11811,11404,11423,9083,16451,24659,17991,17439,13545,39527,1844,7552,22780,29038,29105,32027,7327,79492,8731,14601,17699,27296,54605,87604,22313,94723,17905,11497,30632,6675,6465,35664,16986,37885,60956,24837,28080,48739,12611,28954,86439,35399,27516,37910,2731,23315,62070,57655,65530,49534
"g42",1725,7160,6429,14192,12344,9953,27567,8257,20586,13927,4086,5632,12396,19754,12223,8794,15216,5181,10317,1045,7284,3885,9087,4049,3234,8564,8535,16098,14247,4248,7460,11469,1495,8065,21322,29538,10342,6459,16968,21461,13533,16384,4368,21947,15096,19585,11885,12428,3065,8099,5903,10331,17986,8660,17206,50373,4954,55691,19674,9386,41233,17501,19335,18036,9951,3160,18293,8170,13045,5142,24002,13223,8138,45980,26153,6839,14588,48266,2521,11936
"g43",25660,17438,12831,14148,32062,10697,21829,17535,15926,6354,20867,48450,23562,21376,19741,20490,22974,25924,20083,20011,33230,10564,17025,41085,19158,44367,19767,13377,16406,57737,22172,24598,46246,32013,21460,18053,13575,9842,32476,78679,13343,60405,33816,50172,31687,75878,24870,70063,35443,21108,20329,49801,64420,16747,19865,43312,32441,19744,8788,68086,88757,19020,24586,44401,95276,47505,45097,51032,27646,49319,14553,56924,22738,69370,53061,14786,32810,66313,12606,81589
"g44",6675,24889,19983,268,3460,35700,47570,39364,17828,22810,60052,11409,61866,31509,24121,11486,9346,84838,11592,25404,7,34967,2181,5274,34063,16176,1901,58661,21571,13209,7868,11924,24127,21082,68341,62581,14568,51929,28766,8047,21514,50191,41093,18572,32092,85285,57597,52129,4173,61299,65772,101725,53539,18502,213716,50145,31352,50450,67428,94585,36364,21961,48161,11505,46308,44192,14859,172332,9470,17193,36900,364569,41975,236919,53595,30449,307690,49065,171381,7379
"g45",3722,6516,14031,15642,6016,14395,8983,16566,20166,8348,5783,9633,9280,7396,25977,5313,19242,19904,3304,3201,11703,4541,4885,2685,14230,15690,18582,17168,12960,10245,7581,8230,1744,14238,8837,13052,10907,12576,15141,11102,20954,10394,23236,22642,11350,27860,11116,32805,11764,16565,7322,10395,19569,20299,31402,62666,6295,13279,19889,20657,26850,14155,36319,4023,20751,25701,15122,40655,14814,27799,36235,6995,18655,10419,33579,7604,3374,42263,17619,29587
"g46",9746,6049,1133,562,1470,4988,3881,1327,2132,1545,830,2774,10288,2332,5093,7078,2367,8619,3478,768,2375,2280,1457,4407,7755,4945,4235,3827,5281,4630,2105,5425,646,11417,6936,4430,5932,5376,3414,27848,4963,2679,3997,3551,6613,2274,8401,7651,2513,4640,2218,7593,1281,21547,3051,4676,1969,14373,683,5670,4029,4820,3604,8024,2678,10600,356,5345,702,8552,5681,16224,1573,2405,21976,1950,3999,5800,1526,11558
"g47",15765,2730,43662,26376,14759,16211,41288,7130,62406,27555,20988,10760,33824,2853,20401,23127,9929,5134,36690,9518,6892,43692,7164,57414,12462,9770,14751,593,17509,12234,28151,5225,5873,13215,19848,52290,36593,31561,45601,5229,13312,31434,37213,41798,13892,32763,8038,33473,19022,11462,1957,25757,36629,94124,36166,49833,3981,3730,84602,27474,62463,20900,75994,44388,22680,31176,19708,57812,4839,9944,10754,67447,25624,48117,10118,56844,20777,15772,29492,30083
"g48",61424,22007,82867,33627,21366,28147,39027,69745,55188,25109,54218,43136,42479,36396,51963,59056,57762,55361,34158,27336,26178,19474,17666,46020,25105,24511,49116,24580,32691,66148,60779,37068,69196,23940,20869,51063,28453,56547,37892,21780,50678,38700,62513,54102,159398,64954,124737,101557,110851,157166,75004,76651,63282,98908,100907,125033,63658,15715,65112,111256,137429,43312,44020,85853,137550,125372,86920,75023,119655,77953,102379,277810,80178,24793,161802,97091,84011,61628,61841,67904
"g49",29229,11108,11505,6353,7150,22519,6760,6847,30937,10170,9974,22837,15586,4269,9175,20528,14522,20442,16418,11100,10032,18022,21392,11819,6336,16932,12446,15259,8198,4688,3664,8734,8064,24669,4926,5914,8481,21989,11200,13846,7147,41625,114164,26973,55924,20120,14200,65550,42642,24268,33768,26989,33394,42538,30872,17550,80574,22644,41366,31907,62646,60612,24957,27286,63186,49681,23411,80815,39251,19710,25743,27002,16817,25683,34746,28379,18473,17333,14067,23702
"g50",27421,5563,17624,3030,9639,8579,3090,14564,13117,11234,4242,3819,2011,6948,7166,13178,11933,29143,2409,4536,19516,8555,4322,16660,2559,12760,21595,2892,9174,34862,11283,16224,14033,13710,17680,28517,4332,5321,5224,11672,4797,17872,19687,8322,7230,32458,20427,16292,7408,30119,14567,37940,19827,7804,15224,7275,11793,9814,14237,4573,4981,10560,3324,13900,6642,23084,31726,11540,8408,11597,10255,17370,10538,12287,15973,5514,15429,5931,20692,7512
"g51",16229,10906,12731,10712,18139,18311,8651,8851,9251,21983,8166,10975,9963,8843,10565,12684,9895,9963,15267,12265,8726,8371,10413,8062,17104,22235,26420,11451,18124,14985,8851,10775,7762,4330,9564,7679,11760,18722,19273,20735,19785,14836,32441,35199,28012,23975,11480,17969,7854,18691,20727,13461,19754,46040,22016,29443,40873,21074,13042,17713,26850,23464,24322,28351,32527,23388,15230,56377,18587,25566,29976,23715,16333,40193,33653,27466,34603,25865,27723,22459
"g52",6503,9555,14375,11586,4124,6919,5657,10739,8547,12559,6931,7881,4085,7273,4609,4623,8402,9110,3059,5795,5176,11539,5382,7355,3486,9081,13672,12761,2447,7864,4765,6236,3569,6573,6453,9583,4412,12973,12894,3527,20391,10665,15412,18206,33435,55809,19205,16597,27282,12474,21027,23946,27930,18298,7816,44787,44002,20659,16587,14132,36922,12328,20614,8403,48663,33749,33459,18285,27742,18515,14540,22005,18341,15978,49856,17753,35439,34608,19387,25758
"g53",38386,25634,27487,35494,38115,20418,18136,25242,36434,27618,11728,20374,17370,15680,13877,21452,25677,21728,39527,15829,34801,29100,20673,18022,16052,34919,33381,25243,15724,13901,11684,20721,26712,27963,26404,20317,26061,23384,29791,26396,58578,86458,111828,110378,90037,87132,80972,128775,145795,53179,62210,165614,87796,157083,95759,117312,154246,100296,66898,79504,116973,86035,63487,75297,135213,105909,165798,67387,63847,146133,68587,86202,73413,144095,262827,44964,137655,139064,86330,121417
"g54",25915,2300,14436,4603,11892,2514,7755,42080,1462,42277,3118,21665,1085,8346,4938,701,2499,2926,6723,4542,911,7790,2657,2861,6497,12756,913,14702,5222,1053,9405,5087,2230,6568,20040,39769,1726,42181,32526,2601,3445,3307,25462,28671,12525,33616,12636,12659,19363,20310,25394,820,1927,19072,22290,4198,76560,12395,73166,52300,15989,40931,28218,18213,27472,22422,18384,21455,15962,9211,2176,19157,2623,13370,4561,12151,4365,9813,42716,7486
"g55",21713,2374,5179,27582,16469,9396,42603,43,35399,2842,592,15444,4122,5068,32963,10762,22243,11400,9853,4177,5792,12723,2844,28105,1297,15231,22521,35991,6352,25045,6585,7327,27533,6980,5021,21120,27920,3895,8373,19553,3812,3794,1262,11329,20080,35336,3496,2752,21479,169,19418,2891,6503,12124,11663,8829,5885,10207,3740,13520,39388,10303,3636,4888,3322,21975,6223,4826,1175,17965,5331,40830,4953,1795,53955,2610,17211,8443,14914,15824
