"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"AC079949.1",1,0.5,1,1,0.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,0.5,1,1,1.5
"AC079949.2",1,0.5,1,1,0.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,0.5,1,1,1.5
"AC080013.1",1.5,0.5,1,1,1.5,1.5,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AC080037.2",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC080080.1",1.5,1,1,1.5,2.5,2.5,1,1,1,1.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC080100.1",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1.5,1,0.5,1.5,2,1,1,1.5,1,1,1.5
"AC080162.1",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"AC080188.2",1.5,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,2.5,1,1,1.5
"AC082651.3",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"AC083799.1",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AC083837.1",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1,1,1,1.5,3.5,1.5,1.5,1,1.5,1,1,2,1.5
"AC083841.1",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1.5,1,1.5,1,1,2,1,1.5,1,1,1,2,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"AC083843.2",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"AC083843.3",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"AC083855.2",0.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC083862.1",1.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC083862.2",1.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC083870.1",1.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC083899.1",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AC083902.1",1,0.5,1,1,1,2,1,1,0.5,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,1,1,1,1.5
"AC084030.1",1.5,1,1,1,2,2,1,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AC084036.1",1.5,0.5,1,1,1.5,1.5,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AC084198.2",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"AC084337.1",1,1,1,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1.5,1.5,1,1,1.5,1,1,1.5
"AC084375.1",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1.5,0.5,1,2,2,1,1.5
"AC084759.3",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC084809.1",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1,2,1,1.5
"AC084879.1",1,0.5,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1,1,1,1.5
"AC084880.1",1,0.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"AC087257.1",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,3.5,1,1,2,1,1.5
"AC087257.2",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,3.5,1,1,2,1,1.5
"AC087284.1",1,0.5,1,3.5,2,1.5,1,1,1,1.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,2,1,1,2,3.5,1,1
"AC087294.1",1,0.5,1,1,2,1,1,1,0.5,2,1.5,1,1,0,1,1,1,0.5,1,1,0.5,1,1,1,1,0.5,0.5,1,1,2,1,1.5
"AC087343.1",1,0.5,1,2,2.5,1,1.5,1,1,1,2,0.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,0.5,1.5,1.5,0.5,1.5,1,1,2,1.5
"AC087379.2",1,1,1,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1.5,1.5,1,1,1.5,1,1,1.5
"AC087385.2",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC087477.2",1,0.5,1,1,2,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,2,1,1,2,3.5,1,1
"AC087482.1",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,1,1,1
"AC087500.1",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1.5
"AC087501.4",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,0,1,1,1,1,1,1,0.5,1,0.5,1,1,0.5,0.5,1,1,1,1,1.5
"AC087521.1",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1.5
"AC087521.2",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1.5
"AC087633.2",1,0.5,1,1.5,2,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,2,1,1,2,3.5,1,1
"AC087645.2",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1,0.5,1,1,1,1,1,1,1,1,2,1,1.5
"AC087741.1",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,0.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC087741.3",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,0.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC087752.3",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1.5,1,1.5,1,1,1,1,1.5,1,1,1,1.5,3.5,1.5,1.5,1.5,1.5,1.5,1,2,1.5
"AC087854.1",1,0.5,1,1.5,2.5,1,1.5,1,1,1,0.5,0.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,0.5,1.5,1.5,0.5,1.5,1,1,2,1.5
"AC090004.1",0.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC090004.2",0.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC090013.1",1,0.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"AC090018.2",1.5,0.5,1,1,1,1.5,1.5,1,0.5,1,1,1,1,1,1,1,2.5,1,1,1.5,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"AC090114.3",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC090152.1",2,1,1,2,2.5,3,1.5,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1,1,1,1.5,2.5,1.5,1.5,1,1.5,1,1,2,1.5
"AC090181.2",1.5,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,3.5,1,1
"AC090181.3",1.5,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,3.5,1,1
"AC090197.1",1,0.5,1,1.5,2.5,1,1.5,1,1,1,0.5,0.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,0.5,1.5,1.5,0.5,1.5,1,1,2,1.5
"AC090198.1",2.5,1,1,2,2.5,3,1.5,1,1,1,3,1.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"AC090204.1",1,0.5,1,2,2.5,1,1.5,1,1,1,0.5,0.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,0.5,1.5,1.5,0.5,1.5,1,1,2,1.5
"AC090241.2",1,0.5,1,1,1,1.5,1,1,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,1.5,1.5,1.5,0.5,1,1,1,1,1
"AC090398.2",0.5,0.5,1,1,0.5,1.5,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1
"AC090498.1",1.5,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1
"AC090510.2",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC090515.2",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC090515.4",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC090517.2",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC090517.5",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC090559.1",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1.5
"AC090578.1",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1.5,1,1.5,1,1,1,1,1.5,1,1,1,1.5,3.5,1.5,1.5,1.5,1.5,1.5,1,2,1.5
"AC090579.1",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1,1,1,1.5,3.5,1.5,1.5,1.5,1.5,1.5,1,2,1.5
"AC090587.1",1.5,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1.5,1.5,1,1,1.5,1,1,1.5
"AC090589.1",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1.5
"AC090602.1",0.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,0.5,1,1,1,1,1,2,1,1,1,0.5,1,1,1,1
"AC090686.1",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1,1,1.5,1,1,1,1,1.5,1,1,1,1.5,3.5,1.5,1.5,1.5,1.5,1.5,1,2,1.5
"AC090739.1",2,0.5,1,2,2.5,1,1.5,1,1,1,2,1,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,0.5,1.5,1.5,0.5,1.5,1,1,2,1.5
"AC090825.1",0.5,0.5,1,1,2,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,2,1,1,2,3.5,1,1
"AC090897.1",1,0.5,1,1,0.5,1.5,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1.5,1.5,1,1,1,1,1,1,1
"AC090948.1",0.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC090948.2",0.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC090948.3",0.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC090970.1",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC090971.3",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC091042.1",0.5,0.5,1,1.5,0.5,1.5,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1,1.5,1,1,1,1,1,1,1
"AC091057.1",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1,0.5,1,2,1.5,1,1,1,1,1,1,2,1.5,1,1,1,1,1,1,1
"AC091078.1",1,0.5,1,3.5,2,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,2,1,1,2,3.5,1,1
"AC091153.1",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1.5
"AC091167.4",1,3.5,1,3.5,2,1.5,1,1,1,1.5,1.5,1,1,0.5,1,0.5,1.5,1,1,1,1,1,1,2,1.5,2,1,1,2,3.5,1,1
"AC091180.2",1,0.5,1,1,1.5,1.5,1,1,1,1.5,1.5,1.5,1,1,0.5,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC091182.1",1,0.5,1,2,2.5,1,1.5,1,1,1,2,0.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,0.5,1.5,1.5,0.5,1.5,1,1,2,1.5
"AC091182.2",1,0.5,1,2,2.5,1,1.5,1,1,1,2,0.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,0.5,1.5,1.5,0.5,1.5,1,1,2,1.5
"AC091230.1",1.5,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,3.5,1,1
"AC091271.1",1,0.5,1,1,1.5,1.5,1,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AC091390.2",2,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,0.5,1,3,1,1.5,1,1,1,1,1,1
"AC091429.1",0.5,1,1,1.5,1,1,1,1,0.5,0.5,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1
"AC091563.1",2.5,1,1,2,2.5,3,1.5,1,1,1,3,1.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"AC091685.2",2,1,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,1.5,2.5,1,1,1,2,1,1
"AC091825.3",0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1
"AC091978.1",2.5,1,1,1.5,3,2.5,1,1,0.5,0.5,3.5,1,1,2,1,1,3,1,1,1,1.5,1,0.5,1.5,1.5,1.5,1,1,1.5,2,1,2
"AC091982.1",0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1
"AC091982.3",0.5,1,1,1.5,1.5,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1
"AC092017.1",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1.5,1.5,1.5,1,1,1.5,2,1,1
"AC092053.2",0.5,0.5,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC092053.3",0.5,0.5,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC092053.4",0.5,0.5,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1
"AC092070.2",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"AC092111.1",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,1,2,1,1.5
"AC092117.1",1,0.5,1,1.5,1.5,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,0.5,1,1,1.5,1,1.5
"AC092118.1",1.5,0.5,1,0.5,1.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1.5,1,1.5,1,1,1,1.5,1,1.5
"AC092127.1",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AC092135.3",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,0.5,1,1,1,0.5,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AC092139.2",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,0.5,1,1,1,0.5,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AC092142.1",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,0.5,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1.5,1,1.5,1,1,1,1.5,1,1.5
"AC092155.1",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AC092164.1",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,2.5,1.5,1,1,1.5,1.5,1,1
"AC092168.2",1.5,1,1,1,2,2,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,2.5,1,1,1.5,1.5,1,1
"AC092171.1",1.5,1.5,1,1.5,2.5,2.5,1,1,1,2.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC092171.3",1.5,1.5,1,1.5,2.5,2.5,1,1,1,2.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC092171.5",1.5,1.5,1,1.5,2.5,2.5,1,1,1,2.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC092287.1",1,0.5,1,1.5,1.5,1,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1.5,1,1.5
"AC092295.2",1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,1,2,1,1,1,3,1,2
"AC092301.1",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,1,2,1,1,1,1,1,2
"AC092306.1",1,1,1,1,1.5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,2,2,1,1,1,1,1,2
"AC092329.4",1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,2
"AC092354.2",0.5,1,1,1.5,1,1,1,1,0.5,0.5,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1
"AC092368.3",1.5,0.5,1,0.5,1.5,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,1.5,1,1.5,1,1,1,1.5,1,1.5
"AC092376.2",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,0.5,1,1,1,0.5,1,1,1,1,1,0.5,0.5,2,1,1.5,1.5,1,1,1.5,1,1.5
"AC092428.1",1.5,1.5,1,1.5,2.5,2.5,1,1,1,2.5,2,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,2,3,1,1,1.5,2,1,1
"AC092490.1",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,1,2,1,1.5
"AC092535.5",1,0.5,1,0.5,3.5,1,1,1,0.5,0.5,0.5,1,1,1.5,1,1,1.5,0.5,1,1,0.5,1,0.5,2.5,1.5,1.5,1,1,1,1.5,1,1.5
"AC092597.1",1,0.5,1,1,2.5,1,1,1,0.5,0.5,1,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1.5,1.5,1.5,1,1,1,1,1,1.5
"AC092650.1",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AC092652.1",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"AC092653.1",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AC092687.3",1,1,1,1,1.5,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1,1.5,1,1,1.5,1.5,1,1
"AC092718.3",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,0.5,1,1,1,0.5,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AC092718.4",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,0.5,1,1,1,0.5,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AC092754.1",1,0.5,1,1,1.5,1.5,1,1,1,1,2.5,1,1,0.5,1,1,1.5,1,1,1.5,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC092757.2",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC092802.1",1,0.5,1,1,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"AC092803.1",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1.5,1.5,1.5,1,1,1.5,2,1,1
"AC092807.3",1,0.5,1,1,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"AC092809.2",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,2,1,1
"AC092809.3",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,2,1,1
"AC092828.1",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,0.5,1,1,2,1,1.5
"AC092834.1",1,0.5,1,1,1.5,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1.5,2,1.5,1,1,1,0.5,1,1.5
"AC092835.1",1,1,1,1,2,2,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"AC092851.1",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,0.5,1,1,2,1,1.5
"AC092868.1",1,0.5,1,1,1.5,1.5,1,1,1,1,2.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC092868.2",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,1,1,1,1
"AC092902.4",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AC092903.2",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AC092919.2",1.5,0.5,1,1.5,2,1.5,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,0.5,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
